Temperature (K), Alpha^2
2.894664664664664429e+02,3.509521764863093862e-01
2.895225225225225358e+02,3.515837109363771917e-01
2.895785785785785720e+02,3.522180297036684449e-01
2.896346346346346081e+02,3.528551547323222626e-01
2.896906906906907011e+02,3.534951044809260812e-01
2.897467467467467372e+02,3.541379005313021189e-01
2.898028028028028302e+02,3.547835634078309597e-01
2.898588588588588664e+02,3.554321140989202821e-01
2.899149149149149025e+02,3.560835721026894829e-01
2.899709709709709955e+02,3.567379647168553158e-01
2.900270270270270316e+02,3.573953040540828741e-01
2.900830830830830678e+02,3.580556229949281022e-01
2.901391391391391608e+02,3.587189304555541969e-01
2.901951951951951969e+02,3.593852588931408243e-01
2.902512512512512330e+02,3.600545264676361934e-01
2.903073073073073260e+02,3.607269374304847287e-01
2.903633633633633622e+02,3.614024312935966710e-01
2.904194194194193983e+02,3.620810310053227399e-01
2.904754754754754913e+02,3.627627596083198847e-01
2.905315315315315274e+02,3.634476404668620098e-01
2.905875875875875636e+02,3.641356972044256235e-01
2.906436436436436566e+02,3.648269536443327077e-01
2.906996996996996927e+02,3.655214340445177013e-01
2.907557557557557288e+02,3.662191620361390232e-01
2.908118118118118218e+02,3.669201626045833775e-01
2.908678678678678580e+02,3.676244610821693404e-01
2.909239239239239510e+02,3.683320815624410161e-01
2.909799799799799871e+02,3.690430504224463948e-01
2.910360360360360232e+02,3.697573915852536142e-01
2.910920920920921162e+02,3.704751322378074807e-01
2.911481481481481524e+02,3.711962979501915449e-01
2.912042042042041885e+02,3.719209146849505321e-01
2.912602602602602815e+02,3.726490100400466354e-01
2.913163163163163176e+02,3.733806105983250023e-01
2.913723723723723538e+02,3.741157427343178576e-01
2.914284284284284468e+02,3.748544342188637746e-01
2.914844844844844829e+02,3.755967144869208907e-01
2.915405405405405190e+02,3.763426069132772001e-01
2.915965965965966120e+02,3.770921452594740431e-01
2.916526526526526482e+02,3.778453566194830970e-01
2.917087087087086843e+02,3.786022669037133470e-01
2.917647647647647773e+02,3.793629076756835361e-01
2.918208208208208134e+02,3.801273106224067888e-01
2.918768768768768496e+02,3.808954996981020469e-01
2.919329329329329425e+02,3.816675057641411573e-01
2.919889889889889787e+02,3.824433707174344499e-01
2.920450450450450717e+02,3.832231055731570302e-01
2.921011011011011078e+02,3.840067606947645262e-01
2.921571571571571440e+02,3.847943517563745530e-01
2.922132132132132369e+02,3.855859257174663046e-01
2.922692692692692731e+02,3.863814969642469510e-01
2.923253253253253092e+02,3.871811205269672373e-01
2.923813813813814022e+02,3.879848036252006027e-01
2.924374374374374383e+02,3.887925934199316091e-01
2.924934934934934745e+02,3.896045212614227538e-01
2.925495495495495675e+02,3.904206297738396780e-01
2.926056056056056036e+02,3.912409391213377829e-01
2.926616616616616398e+02,3.920654789424189990e-01
2.927177177177177327e+02,3.928943045488569874e-01
2.927737737737737689e+02,3.937274409422250043e-01
2.928298298298298050e+02,3.945647530600097652e-01
2.928858858858858980e+02,3.954065980720526396e-01
2.929419419419419341e+02,3.962528626765842166e-01
2.929979979979979703e+02,3.971035733480612895e-01
2.930540540540540633e+02,3.979587774986476645e-01
2.931101101101100994e+02,3.988185735120841069e-01
2.931661661661661924e+02,3.996828060059975929e-01
2.932222222222222285e+02,4.005517091068124813e-01
2.932782782782782647e+02,4.014253329108661283e-01
2.933343343343343577e+02,4.023034869986731321e-01
2.933903903903903938e+02,4.031864258340662199e-01
2.934464464464464299e+02,4.040741879446986262e-01
2.935025025025025229e+02,4.049666430443275567e-01
2.935585585585585591e+02,4.058639970326001767e-01
2.936146146146145952e+02,4.067662256397726050e-01
2.936706706706706882e+02,4.076733787314451574e-01
2.937267267267267243e+02,4.085854986069146766e-01
2.937827827827827605e+02,4.095026287968725476e-01
2.938388388388388535e+02,4.104246851441454846e-01
2.938948948948948896e+02,4.113519780716989871e-01
2.939509509509509257e+02,4.122844888982448164e-01
2.940070070070070187e+02,4.132220997487922043e-01
2.940630630630630549e+02,4.141649189903200967e-01
2.941191191191190910e+02,4.151132602284980377e-01
2.941751751751751840e+02,4.160664374805115306e-01
2.942312312312312201e+02,4.170252344561850011e-01
2.942872872872873131e+02,4.179894100517425604e-01
2.943433433433433493e+02,4.189590108563629456e-01
