Temperature (K), Alpha^2
2.979309309309309128e+02,3.864833670593922355e-01
2.979869869869870058e+02,3.875406113565953437e-01
2.980430430430430420e+02,3.886051021171247899e-01
2.980990990990990781e+02,3.896768561317175972e-01
2.981551551551551711e+02,3.907560191099473945e-01
2.982112112112112072e+02,3.918426202555410631e-01
2.982672672672672434e+02,3.929367627382258643e-01
2.983233233233233364e+02,3.940384862946343936e-01
2.983793793793793725e+02,3.951477861678782677e-01
2.984354354354354086e+02,3.962650067926845598e-01
2.984914914914915016e+02,3.973900980760656232e-01
2.985475475475475378e+02,3.985231482643120660e-01
2.986036036036036307e+02,3.996642406724616459e-01
2.986596596596596669e+02,4.008134805291947989e-01
2.987157157157157030e+02,4.019710284675305778e-01
2.987717717717717960e+02,4.031368065033791304e-01
2.988278278278278322e+02,4.043109418732164784e-01
2.988838838838838683e+02,4.054936622865701334e-01
2.989399399399399613e+02,4.066849609882676186e-01
2.989959959959959974e+02,4.078849850974604063e-01
2.990520520520520336e+02,4.090938191338497898e-01
2.991081081081081265e+02,4.103115434881149381e-01
2.991641641641641627e+02,4.115382834987785232e-01
2.992202202202201988e+02,4.127741320551966964e-01
2.992762762762762918e+02,4.140191318475571203e-01
2.993323323323323280e+02,4.152734444274990833e-01
2.993883883883883641e+02,4.165374013368925987e-01
2.994444444444444571e+02,4.178107476273866805e-01
2.995005005005004932e+02,4.190939096421915089e-01
2.995565565565565294e+02,4.203865579488854642e-01
2.996126126126126223e+02,4.216890637798864083e-01
2.996686686686686585e+02,4.230018316866216987e-01
2.997247247247247515e+02,4.243246751650215365e-01
2.997807807807807876e+02,4.256576078931840201e-01
2.998368368368368237e+02,4.270009214643283868e-01
2.998928928928929167e+02,4.283547367318585875e-01
2.999489489489489529e+02,4.297191508883234090e-01
3.000050050050049890e+02,4.310943138187505186e-01
3.000610610610610820e+02,4.324802767033927853e-01
3.001171171171171181e+02,4.338773095289711335e-01
3.001731731731731543e+02,4.352854063102998827e-01
3.002292292292292473e+02,4.367047176266894981e-01
3.002852852852852834e+02,4.381354499331339136e-01
3.003413413413413195e+02,4.395776042505056269e-01
3.003973973973974125e+02,4.410316630261401083e-01
3.004534534534534487e+02,4.424971775605766600e-01
3.005095095095094848e+02,4.439748054750802253e-01
3.005655655655655778e+02,4.454645155361108277e-01
3.006216216216216139e+02,4.469664592777516932e-01
3.006776776776776501e+02,4.484807853811342837e-01
3.007337337337337431e+02,4.500076359319679642e-01
3.007897897897897792e+02,4.515471697951620178e-01
3.008458458458458722e+02,4.530995330938702992e-01
3.009019019019019083e+02,4.546648957829498849e-01
3.009579579579579445e+02,4.562434057271849697e-01
3.010140140140140375e+02,4.578352230932868916e-01
3.010700700700700736e+02,4.594405025094798201e-01
3.011261261261261097e+02,4.610594553877855328e-01
3.011821821821822027e+02,4.626921652696072695e-01
3.012382382382382389e+02,4.643388897009145810e-01
3.012942942942942750e+02,4.659997349908089337e-01
3.013503503503503680e+02,4.676748664287721513e-01
3.014064064064064041e+02,4.693645410246247707e-01
3.014624624624624403e+02,4.710688604551419578e-01
3.015185185185185333e+02,4.727878578027766565e-01
3.015745745745745694e+02,4.745221708900026480e-01
3.016306306306306055e+02,4.762714999017542694e-01
3.016866866866866985e+02,4.780363295395878009e-01
3.017427427427427347e+02,4.798166911698760195e-01
3.017987987987987708e+02,4.816127879645406007e-01
3.018548548548548638e+02,4.834248317576810838e-01
3.019109109109108999e+02,4.852529843241625840e-01
