 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
165,0.030,0.720,0.302,720,826,53.130,0.150
166,0.042,0.798,0.302,772,829,53.130,0.226
167,0.040,0.823,0.345,607,834,37.875,0.192
168,0.048,0.883,0.369,526,839,34.992,0.203
169,0.095,1.307,0.517,335,850,69.444,0.266
170,0.081,1.168,0.450,565,847,47.726,0.297
171,0.049,0.876,0.369,489,847,55.008,0.226
172,0.042,0.823,0.345,635,846,52.125,0.192
173,0.091,1.175,0.433,577,846,167.905,0.333
174,0.053,0.866,0.316,443,856,16.699,0.257
175,0.098,1.236,0.492,637,869,47.490,0.321
176,0.080,1.417,0.536,708,873,73.610,0.257
177,0.073,1.158,0.503,524,873,32.735,0.225
178,0.091,1.304,0.428,625,870,98.130,0.333
179,0.043,0.841,0.364,451,883,48.366,0.192
180,0.032,0.695,0.298,219,881,23.962,0.168
181,0.037,0.755,0.285,216,895,32.005,0.226
182,0.210,2.358,0.807,731,890,102.995,0.518
183,0.048,1.090,0.354,249,907,70.017,0.249
184,0.113,1.425,0.605,692,911,36.870,0.285
185,0.060,1.082,0.473,595,911,26.565,0.220
186,0.031,0.720,0.285,738,926,57.995,0.189
187,0.087,1.271,0.545,561,938,33.690,0.228
188,0.043,0.823,0.345,422,939,37.875,0.192
189,0.032,0.652,0.260,542,942,35.538,0.192
190,0.088,1.545,0.568,430,949,25.201,0.302
191,0.103,1.510,0.499,464,949,104.036,0.331
192,0.039,0.762,0.327,299,962,33.690,0.192
193,0.134,1.663,0.732,471,976,51.710,0.278
194,0.034,0.755,0.311,586,964,29.055,0.176
195,0.044,0.816,0.321,536,972,41.186,0.207
196,0.041,0.848,0.327,636,973,33.690,0.212
197,0.048,0.883,0.364,279,976,48.366,0.212
198,0.117,1.382,0.552,367,972,170.538,0.328
199,0.043,0.858,0.298,587,971,156.038,0.237
200,0.105,1.228,0.436,540,972,146.310,0.363
201,0.099,1.211,0.462,566,986,58.392,0.338
202,0.058,0.944,0.403,445,979,12.995,0.212
203,0.211,2.222,0.838,282,983,154.359,0.445
204,0.037,0.780,0.353,388,987,30.964,0.176
205,0.054,0.944,0.394,422,991,57.529,0.230
206,0.032,0.755,0.302,244,989,36.870,0.180
207,0.035,0.737,0.327,493,993,33.690,0.169
208,0.067,1.054,0.406,526,999,63.435,0.277
209,0.057,0.926,0.369,417,1003,55.008,0.257
210,0.042,0.823,0.316,204,996,163.301,0.212
211,0.052,0.961,0.407,441,1006,48.013,0.235
212,0.051,0.926,0.385,543,1007,45.000,0.214
213,0.032,0.712,0.311,583,1005,29.055,0.172
214,0.034,0.670,0.279,473,1010,40.601,0.192
215,0.030,0.737,0.327,348,1013,33.690,0.168
216,0.040,1.150,0.529,374,1017,30.964,0.122
217,0.048,0.876,0.369,294,1016,34.992,0.210
218,0.030,0.695,0.302,510,1022,36.870,0.169
219,0.069,1.047,0.436,409,1030,33.690,0.254
220,0.062,0.961,0.394,466,1033,32.471,0.230
221,0.075,1.150,0.469,122,1037,14.931,0.257
222,0.075,1.047,0.393,470,1043,22.620,0.296
223,0.162,1.837,0.623,345,1042,150.945,0.410
224,0.040,0.755,0.321,519,1059,41.186,0.192
225,0.071,1.029,0.394,340,1063,32.471,0.272
226,0.065,1.022,0.387,243,1064,51.340,0.290
227,0.035,0.762,0.345,467,1063,37.875,0.150
228,0.060,0.926,0.374,272,1062,14.036,0.242
229,0.105,1.304,0.450,63,1068,42.274,0.333
230,0.067,1.450,0.623,298,1083,39.094,0.213
231,0.099,1.371,0.478,180,1083,55.305,0.352
232,0.240,2.393,0.741,28,1096,78.232,0.588
233,0.045,0.894,0.345,404,1080,37.875,0.225
234,0.034,0.755,0.298,283,1078,23.962,0.181
235,0.035,0.858,0.379,207,1082,28.610,0.149
236,0.130,1.777,0.771,203,1094,25.560,0.294
237,0.078,1.029,0.406,349,1092,26.565,0.284
238,0.055,0.951,0.420,127,1094,30.256,0.192
239,0.030,0.762,0.302,78,1097,53.130,0.170
240,0.072,0.987,0.374,366,1098,14.036,0.272
241,0.175,2.393,0.960,236,1122,61.821,0.424
242,0.044,0.841,0.353,421,1102,30.964,0.212
243,0.033,0.773,0.345,476,1105,52.125,0.172
244,0.093,1.492,0.515,260,1112,40.236,0.338
245,0.053,0.951,0.406,407,1105,26.565,0.216
246,0.063,0.961,0.369,140,1107,34.992,0.268
247,0.059,0.936,0.394,17,1112,57.529,0.242
248,0.051,0.883,0.379,246,1110,28.610,0.203
249,0.151,1.812,0.623,377,1121,50.906,0.433
250,0.138,1.492,0.596,450,1130,30.466,0.342
251,0.274,3.793,1.124,367,1138,23.806,0.735
252,0.035,0.773,0.353,265,1131,30.964,0.161
253,0.075,1.236,0.556,4,1145,45.000,0.227
254,0.454,3.454,1.033,326,1144,20.556,0.791
255,0.048,0.841,0.354,38,1145,19.983,0.212
