 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
388,0.794,3.549,1.244,1290,812,126.469,0.957
389,0.017,0.482,0.217,168,812,143.130,0.130
390,0.721,3.791,1.405,1252,829,21.801,0.797
391,0.061,0.887,0.331,2015,820,66.801,0.277
392,0.034,0.666,0.292,2337,813,116.565,0.174
393,0.501,2.955,1.004,1836,814,107.650,0.696
394,0.223,1.966,0.809,656,817,143.746,0.420
395,0.013,0.369,0.185,890,820,45.000,0.123
396,0.286,2.013,0.717,1854,827,14.036,0.565
397,0.053,0.840,0.351,1065,828,60.255,0.217
398,0.011,0.333,0.157,1873,821,123.690,0.087
399,0.176,1.557,0.652,2069,821,143.130,0.418
400,0.032,1.090,0.524,1312,824,175.236,0.087
401,0.015,0.395,0.185,1345,824,135.000,0.130
402,0.057,0.927,0.389,1513,833,63.435,0.217
403,0.282,2.531,0.840,1160,832,158.749,0.582
404,0.609,3.534,1.171,1732,830,121.329,0.822
405,0.456,3.852,1.187,2313,851,28.443,0.765
406,0.125,1.409,0.584,818,838,26.565,0.330
407,0.187,1.756,0.681,1187,832,116.565,0.385
408,0.053,0.851,0.351,895,839,29.745,0.246
409,0.112,1.173,0.448,1556,837,150.945,0.348
410,0.074,0.974,0.372,885,845,20.556,0.304
411,0.392,3.197,1.098,1756,854,33.690,0.603
412,0.019,0.456,0.217,2112,841,143.130,0.130
413,0.081,1.075,0.448,1055,848,29.055,0.261
414,0.842,3.733,1.268,1402,852,149.036,0.967
415,0.011,0.369,0.185,2184,844,135.000,0.117
416,0.057,0.840,0.314,873,852,146.310,0.261
417,0.467,2.868,1.034,2024,852,104.621,0.696
418,0.085,1.122,0.413,1550,853,108.435,0.338
419,0.460,2.802,1.004,725,860,162.350,0.739
420,1.500,7.053,2.095,1683,868,175.236,1.312
421,0.087,1.086,0.435,2042,860,143.130,0.311
422,0.019,0.569,0.275,630,864,18.435,0.087
423,0.019,0.492,0.195,1401,863,116.565,0.154
424,0.590,3.186,1.066,954,892,78.232,0.824
425,0.019,0.630,0.265,1228,868,99.462,0.124
426,3.099,10.659,2.996,1054,869,99.189,1.999
427,1.657,9.461,2.935,1117,940,83.191,1.344
428,0.074,1.097,0.428,1401,877,156.038,0.302
429,1.084,4.641,1.522,2006,909,53.130,1.159
430,3.373,13.574,3.670,1614,895,5.440,1.671
431,1.947,7.391,2.462,756,907,162.525,1.462
432,0.028,0.605,0.234,2128,889,111.801,0.174
433,0.176,1.614,0.567,2231,892,122.471,0.461
434,0.076,1.025,0.410,970,893,122.005,0.292
435,0.013,0.395,0.195,2270,893,153.435,0.087
436,0.036,0.666,0.292,947,901,26.565,0.174
437,0.530,3.683,1.375,1713,901,145.305,0.702
438,0.465,3.074,1.188,1003,924,66.251,0.584
439,0.142,1.459,0.524,1088,906,41.634,0.435
440,1.330,5.240,1.811,1570,913,155.898,1.242
441,0.021,0.482,0.217,1765,908,53.130,0.130
442,0.089,1.075,0.435,1257,911,36.870,0.304
443,0.085,1.086,0.444,2242,914,168.690,0.261
444,1.347,5.783,1.637,2018,917,129.611,1.233
445,0.026,0.579,0.234,2283,915,158.199,0.174
446,0.719,6.368,2.045,1704,919,150.709,0.750
447,0.066,0.938,0.372,1619,922,20.556,0.261
448,0.019,0.482,0.217,883,921,36.870,0.130
449,0.165,1.778,0.647,1745,918,132.274,0.447
450,0.025,0.768,0.359,1786,926,75.964,0.087
451,0.034,0.641,0.254,2170,919,149.036,0.215
452,0.078,0.999,0.389,891,926,26.565,0.304
453,0.102,1.148,0.413,990,924,161.565,0.348
454,0.352,3.012,0.930,1937,947,79.216,0.748
455,0.026,0.579,0.254,2195,928,149.036,0.174
456,1.538,8.006,2.142,835,940,150.832,1.538
457,0.541,3.284,1.171,2262,943,164.932,0.893
458,0.047,0.912,0.389,2296,935,116.565,0.217
459,0.019,0.456,0.195,1291,936,116.565,0.130
460,0.053,0.876,0.389,1721,945,63.435,0.217
461,0.042,0.851,0.351,681,947,60.255,0.214
462,0.030,0.938,0.372,2165,944,159.444,0.164
463,0.146,1.506,0.545,1625,954,28.610,0.428
464,0.757,3.831,1.246,757,949,150.751,1.000
465,0.021,0.518,0.234,582,952,21.801,0.130
466,0.482,3.483,1.209,806,973,37.694,0.738
467,0.013,0.456,0.195,1733,950,116.565,0.117
468,0.011,0.395,0.157,1290,951,123.690,0.130
469,0.278,1.911,0.675,452,962,14.931,0.554
470,0.757,4.974,1.543,1223,960,158.499,0.897
471,1.625,6.368,1.727,1857,960,139.086,1.445
472,0.117,1.285,0.496,2028,966,74.745,0.304
473,0.042,0.717,0.314,2218,955,123.690,0.174
474,0.115,1.409,0.580,924,970,77.005,0.261
475,0.013,0.369,0.185,434,962,45.000,0.123
476,0.102,1.409,0.507,2184,963,149.036,0.391
477,0.026,0.543,0.217,1621,961,126.870,0.174
478,1.924,8.627,2.865,2274,965,149.931,1.267
479,0.923,3.929,1.427,1090,964,127.569,1.046
480,0.743,4.037,1.209,1949,963,142.306,1.047
481,0.064,0.902,0.351,2303,969,29.745,0.261
482,0.019,0.456,0.217,615,968,36.870,0.130
483,0.083,1.101,0.454,2158,966,163.301,0.217
484,0.499,3.309,1.226,1910,968,117.474,0.704
485,0.100,1.148,0.448,505,977,29.055,0.338
486,0.040,0.829,0.372,1003,980,69.444,0.130
487,0.025,0.518,0.217,2216,972,126.870,0.174
488,0.511,3.335,1.024,820,985,12.265,0.783
489,0.079,1.173,0.468,1228,976,111.801,0.250
490,0.482,3.078,1.131,1233,1002,67.380,0.623
491,0.367,2.459,0.941,1841,984,146.310,0.597
492,0.076,0.989,0.374,760,988,35.538,0.261
493,0.070,2.147,0.966,1344,997,35.838,0.182
494,0.189,1.582,0.592,773,997,53.973,0.478
495,0.091,1.307,0.557,1221,996,38.660,0.251
496,0.380,2.325,0.809,469,990,143.746,0.652
497,0.021,0.579,0.254,604,998,30.964,0.154
498,0.131,1.322,0.509,569,1004,19.983,0.348
499,0.149,2.346,0.950,1863,1018,74.055,0.323
500,0.352,2.509,0.858,497,1015,59.534,0.609
501,1.387,5.691,1.920,717,1007,166.908,1.271
502,0.168,1.691,0.701,1843,998,150.255,0.385
503,1.778,9.293,2.743,2262,1031,14.697,1.164
504,1.063,4.953,1.633,604,1028,48.240,1.078
505,0.132,1.763,0.642,2322,1003,151.699,0.375
506,4.024,12.779,3.158,1932,1047,22.681,2.427
507,0.600,3.099,0.994,2136,1012,113.199,0.875
508,0.028,1.158,0.531,1309,1021,34.992,0.136
509,0.045,0.804,0.331,2159,1021,66.801,0.174
510,0.378,2.929,1.024,642,1039,77.735,0.680
511,1.861,7.575,2.092,2316,1066,69.305,1.479
512,0.057,0.851,0.331,1402,1029,66.801,0.261
513,0.108,1.332,0.496,1826,1029,15.255,0.350
514,0.583,3.816,1.359,2048,1022,129.806,0.738
515,1.320,7.637,2.312,666,1038,11.944,1.240
516,3.759,11.232,3.480,1872,1103,71.792,1.839
517,0.045,0.938,0.340,2160,1034,39.806,0.261
518,0.081,1.050,0.413,845,1040,71.565,0.261
519,0.125,1.322,0.462,2016,1039,48.814,0.391
520,0.034,0.692,0.292,2294,1031,153.435,0.174
521,3.091,10.920,2.766,1360,1090,53.310,2.050
522,0.015,0.482,0.234,1275,1039,21.801,0.087
523,0.047,0.753,0.314,1490,1043,33.690,0.217
524,0.032,0.887,0.410,1266,1044,32.005,0.154
525,0.079,1.050,0.389,2247,1043,153.435,0.304
526,0.011,0.395,0.195,1103,1048,26.565,0.087
527,0.081,1.050,0.410,1698,1053,32.005,0.304
528,0.017,0.456,0.195,1120,1047,116.565,0.130
529,0.013,0.395,0.157,1108,1048,123.690,0.130
530,0.015,0.395,0.185,1113,1048,135.000,0.130
531,0.013,0.420,0.195,419,1052,26.565,0.087
532,3.740,13.794,4.723,568,1119,36.764,1.290
533,0.505,3.027,1.236,455,1077,50.711,0.622
534,0.011,0.333,0.157,1919,1055,123.690,0.087
535,0.515,3.161,1.087,558,1057,106.260,0.773
536,0.034,0.728,0.331,660,1063,23.199,0.174
537,0.019,0.456,0.195,1028,1059,116.565,0.130
538,0.388,2.730,1.128,748,1079,27.553,0.525
539,0.013,0.518,0.254,1224,1069,30.964,0.109
540,0.974,5.061,1.633,1804,1094,41.760,1.080
541,0.083,1.025,0.374,1848,1068,125.538,0.304
542,0.030,0.605,0.254,2327,1070,30.964,0.174
543,0.011,0.395,0.185,1220,1072,45.000,0.123
544,0.042,0.717,0.292,696,1077,153.435,0.174
545,0.017,0.579,0.278,1205,1084,38.660,0.123
546,0.113,1.455,0.470,1047,1081,123.690,0.384
547,0.047,0.789,0.340,682,1090,39.806,0.215
548,0.314,2.238,0.802,264,1085,167.471,0.565
549,0.057,0.974,0.435,1294,1088,126.870,0.215
550,5.628,16.626,4.222,1108,1092,101.889,2.580
551,1.803,7.326,2.442,1249,1092,94.086,1.313
552,0.023,0.543,0.234,1743,1092,111.801,0.130
553,0.121,1.245,0.454,1770,1092,106.699,0.369
554,0.040,0.702,0.275,1765,1109,71.565,0.217
555,1.755,6.582,2.133,597,1128,20.283,1.418
556,0.620,3.498,1.291,1150,1134,57.381,0.787
557,0.658,3.837,1.209,1704,1137,37.694,0.880
558,3.430,9.348,2.636,1168,1128,142.374,2.293
559,0.019,0.456,0.195,1315,1116,116.565,0.130
560,0.038,0.702,0.275,963,1125,71.565,0.215
561,2.402,6.741,2.312,452,1145,4.316,1.504
562,0.025,0.518,0.217,2308,1137,126.870,0.174
563,0.019,0.456,0.217,618,1142,36.870,0.130
564,0.017,0.431,0.195,2300,1148,153.435,0.130
565,6.748,15.279,4.222,77,1221,18.622,3.110
566,0.437,2.567,1.015,530,1156,170.134,0.652
567,0.036,0.655,0.278,1594,1165,51.340,0.174
568,0.375,2.448,0.941,2225,1164,146.310,0.605
569,0.112,1.173,0.428,1213,1169,156.038,0.348
570,0.155,1.578,0.567,1034,1177,32.471,0.418
