 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
253,0.129,2.187,0.662,737,2175,173.290,0.485
254,0.192,2.744,1.056,123,2187,28.443,0.410
255,0.079,1.249,0.505,194,2186,57.529,0.246
256,0.108,1.376,0.521,114,2184,131.987,0.328
257,0.153,1.581,0.563,1153,2189,105.945,0.426
258,0.114,1.527,0.630,1056,2191,137.490,0.322
259,0.151,1.942,0.601,868,2212,75.069,0.452
260,0.177,2.329,0.835,1126,2203,166.608,0.433
261,0.087,1.900,0.774,1005,2200,143.130,0.265
262,0.081,1.363,0.526,511,2201,143.973,0.269
263,0.063,1.108,0.433,1108,2205,169.695,0.271
264,0.159,1.955,0.711,892,2206,157.620,0.404
265,0.235,2.383,0.900,934,2229,64.537,0.481
266,0.163,2.032,0.723,916,2217,15.524,0.415
267,0.067,0.966,0.346,975,2222,26.565,0.310
268,0.061,1.495,0.606,399,2216,153.435,0.208
269,0.515,5.103,1.505,817,2219,162.031,0.658
270,0.078,1.076,0.387,876,2229,36.870,0.310
271,0.139,1.768,0.661,1121,2224,110.556,0.426
272,0.106,1.472,0.554,562,2229,12.095,0.348
273,0.063,1.330,0.539,756,2229,111.038,0.193
274,0.069,0.989,0.398,463,2239,60.945,0.271
275,0.298,3.227,0.865,809,2239,169.695,0.559
276,0.079,1.240,0.538,874,2240,30.256,0.254
277,0.189,3.040,1.006,1092,2235,157.380,0.410
278,0.160,2.712,1.075,695,2234,149.744,0.310
279,0.102,1.230,0.433,732,2239,26.565,0.348
280,2.358,17.001,3.206,182,2237,156.529,1.730
281,0.078,1.395,0.554,1117,2244,167.905,0.242
282,0.371,3.627,1.128,592,2246,157.834,0.619
283,0.139,1.814,0.612,1095,2245,145.305,0.460
284,0.120,2.036,0.640,734,2249,115.017,0.397
285,0.258,2.451,0.798,813,2265,39.094,0.604
286,0.078,1.121,0.441,573,2258,37.875,0.310
287,0.322,4.899,1.427,669,2253,122.829,0.649
288,0.332,5.223,1.336,697,2260,157.891,0.627
289,0.066,1.044,0.387,581,2268,53.130,0.305
290,0.316,2.506,0.913,612,2261,126.384,0.611
291,1.602,9.930,2.543,1096,2326,76.809,1.371
292,0.094,1.153,0.451,59,2265,149.036,0.320
293,0.115,2.074,0.849,688,2263,114.228,0.294
294,0.078,1.021,0.395,1066,2266,168.690,0.271
295,0.090,1.176,0.453,1080,2269,19.983,0.271
296,0.976,7.050,1.738,664,2269,101.560,1.243
297,0.114,1.395,0.580,773,2282,36.870,0.356
298,0.085,1.385,0.526,1127,2280,17.103,0.314
299,0.437,4.197,1.372,40,2273,111.501,0.657
300,0.069,0.998,0.381,796,2285,66.038,0.274
301,0.228,2.074,0.778,1059,2285,5.711,0.542
302,0.075,1.130,0.398,610,2290,29.055,0.338
303,0.205,2.397,0.837,261,2289,146.310,0.488
304,0.079,1.130,0.398,59,2299,60.945,0.341
305,0.066,1.176,0.509,1049,2295,171.254,0.232
306,0.075,1.559,0.526,557,2301,17.103,0.271
307,0.079,1.723,0.571,1061,2309,61.699,0.328
308,1.044,8.964,2.012,965,2347,67.380,1.126
309,0.102,1.832,0.739,1021,2301,6.009,0.310
310,0.069,0.976,0.411,800,2301,131.186,0.246
311,0.066,1.404,0.453,608,2315,70.017,0.267
312,0.085,1.308,0.554,1066,2311,24.775,0.271
313,0.066,0.925,0.383,448,2305,135.000,0.271
314,0.168,2.348,0.774,612,2322,53.130,0.445
315,0.081,1.217,0.505,19,2320,32.471,0.255
316,0.108,1.791,0.763,659,2329,59.534,0.305
317,0.066,1.317,0.575,685,2314,160.346,0.229
318,0.073,0.989,0.381,780,2313,156.038,0.271
319,0.064,1.504,0.526,278,2316,126.027,0.284
320,0.067,1.076,0.433,47,2322,10.305,0.253
321,0.073,1.166,0.468,180,2318,114.444,0.232
322,0.186,3.263,0.789,977,2326,168.690,0.552
323,0.087,1.144,0.505,347,2322,147.529,0.271
